Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - Ohio,4,2012-04-16,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2011-03-01,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Oregon,3,2015-04-17,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2011-03-02,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-20,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2011-03-01,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2008-03-06,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Utah,-999,2014-05-20,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2010-03-04,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2013-01-10,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2012-03-13,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2014-02-19,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-03-29,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - California,6,2016-02-29,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2006-03-30,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2013-02-04,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2007-03-12,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2011-02-21,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2012-03-16,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
